year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2015,AMC 10,A,1,2015 AMC 10A Problem 1,What is the value of (20 − 1 + 52 + 0)−1 × 5? 1 5 (A) − 125 (B) − 120 (C) (D) (E) 25 5 24,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2015,AMC 10,A,2,2015 AMC 10A Problem 2,"A box contains a collection of triangular and square tiles. There are 25 tiles in the box, containing 84 edges total. How many square tiles are there in the box? (A) 3 (B) 5 (C) 7 (D) 9 (E) 11",,几何,三角形,三角形;角度,运用三角形边角关系、三角函数或面积公式。,
2015,AMC 10,A,3,2015 AMC 10A Problem 3,Ann made a 3-step staircase using 18 toothpicks as shown in the figure. How many toothpicks does she need to add to complete a 5-step staircase? (A) 9 (B) 18 (C) 20 (D) 22 (E) 24,,代数,三角恒等式,三角函数;恒等式,用三角恒等式、角度关系或特殊角化简。,题面包含图形
2015,AMC 10,A,4,2015 AMC 10A Problem 4,"Pablo, Sofia, and Mia got some candy eggs at a party. Pablo had three times as many eggs as Sofia, and Sofia had twice as many eggs as Mia. Pablo decides to give some of his eggs to Sofia and Mia so that all three will have the same number of eggs. What fraction of his eggs should Pablo give to Sofia? 1 1 1 1 1 (A) (B) (C) (D) (E) 12 6 4 3 2",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2015,AMC 10,A,5,2015 AMC 10A Problem 5,"Mr. Patrick teaches math to 15 students. He was grading tests and found that when he graded everyone’s test except Payton’s, the average grade for the class was 80. After he graded Payton’s test, the class average became 81. What was Payton’s score on the test? (A) 81 (B) 85 (C) 91 (D) 94 (E) 95",,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,
2015,AMC 10,A,6,2015 AMC 10A Problem 6,The sum of two positive numbers is 5 times their difference. What is the ratio of the larger number to the smaller? 5 3 9 5 (A) (B) (C) (D) 2 (E) 4 2 5 2,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2015,AMC 10,A,7,2015 AMC 10A Problem 7,"How many terms are there in the arithmetic sequence 13, 16, 19, . . . , 70, 73? (A) 20 (B) 21 (C) 24 (D) 60 (E) 61",,代数,数列与递推,数列;递推,从递推式或数列结构中找显式式、周期或求和规律。,
2015,AMC 10,A,8,2015 AMC 10A Problem 8,"Two years ago Pete was three times as old as his cousin Claire. Two years before that, Pete was four times as old as Claire. In how many years will the ratio of their ages be 2 : 1? (A) 2 (B) 4 (C) 5 (D) 6 (E) 8",,代数,三角恒等式,三角函数;恒等式,用三角恒等式、角度关系或特殊角化简。,
2015,AMC 10,A,9,2015 AMC 10A Problem 9,Two right circular cylinders have the same volume. The radius of the second cylinder is 10% more than the radius of the first. What is the relationship between the heights of the two cylin- ders? (A) The second height is 10% less than the first. (B) The first height is 10% more than the second. (C) The second height is 21% less than the first. (D) The first height is 21% more than the second. (E) The second height is 80% of the first.,,几何,空间几何,空间几何;体积,用截面、相似、体积或空间距离关系建模。,
2015,AMC 10,A,10,2015 AMC 10A Problem 10,"How many rearrangements of abcd are there in which no two adjacent letters are also adjacent letters in the alphabet? For example, no such rearrangements could include either ab or ba. (A) 0 (B) 1 (C) 2 (D) 3 (E) 4",,组合数学,递推与序列计数,递推;序列,建立状态递推或寻找周期规律计数。,
2015,AMC 10,A,11,2015 AMC 10A Problem 11,"The ratio of the length to the width of a rectangle is 4 : 3. If the rectangle has diagonal of length d, then the area may be expressed as kd2 for some constant k. What is k? 2 3 12 16 3 (A) (B) (C) (D) (E) 7 7 25 25 4 √ √",,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2015,AMC 10,A,12,2015 AMC 10A Problem 12,"Points ( π, a) and ( π, b) are distinct points on the graph of y2 + x4 = 2x2y + 1. What is |a − b|? π √ √ (A) 1 (B) (C) 2 (D) 1 + π (E) 1 + π 2",,代数,函数与图像,函数;图像,分析函数图像、对称、交点或极值条件。,自动分类依据较弱，按代数主线暂归类
2015,AMC 10,A,13,2015 AMC 10A Problem 13,"Claudia has 12 coins, each of which is a 5-cent coin or a 10-cent coin. There are exactly 17 different values that can be obtained as combinations of one or more of her coins. How many 10-cent coins does Claudia have? (A) 3 (B) 4 (C) 5 (D) 6 (E) 7",,概率与统计,组合概率,概率;计数,分别计数有利情况与总情况，再化为概率。,
2015,AMC 10,A,14,2015 AMC 10A Problem 14,"The diagram below shows the circular face of a clock with radius 20 cm and a circular disk with radius 10 cm externally tangent to the clock face at 12 o’clock. The disk has an arrow painted on it, initially pointing in the upward vertical direction. Let the disk roll clockwise around the clock face. At what point on the clock face will the disk be tangent when the arrow is next pointing in the upward vertical direction? 12 11 1 10 2 9 3 8 4 7 5 6 (A) 2 o’clock (B) 3 o’clock (C) 4 o’clock (D) 6 o’clock (E) 8 o’clock",,几何,圆与曲线,圆;曲线,利用圆、切线、曲线方程或几何约束求关键量。,题面包含图形
2015,AMC 10,A,15,2015 AMC 10A Problem 15,"Consider the set of all fractions x , where x and y are relatively prime positive integers. How many y of these fractions have the property that if both numerator and denominator are increased by 1, the value of the fraction is increased by 10%? (A) 0 (B) 1 (C) 2 (D) 3 (E) infinitely many",,数论,质因数与整除,质因数;整除,分解质因数并检查整除条件。,
2015,AMC 10,A,16,2015 AMC 10A Problem 16,"If y + 4 = (x − 2)2, x + 4 = (y − 2)2, and x ̸= y, what is the value of x2 + y2? (A) 10 (B) 15 (C) 20 (D) 25 (E) 30 √",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2015,AMC 10,A,17,2015 AMC 10A Problem 17,A line that passes through the origin intersects both the line x = 1 and the line y = 1 + 3 x. The 3 three lines create an equilateral triangle. What is the perimeter of the triangle? √ √ √ √ (A) 2 6 (B) 2 + 2 3 (C) 6 (D) 3 + 2 3 (E) 6 + 3 3,,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2015,AMC 10,A,18,2015 AMC 10A Problem 18,"Hexadecimal (base-16) numbers are written using numeric digits 0 through 9 as well as the letters A through F to represent 10 through 15. Among the first 1000 positive integers, there are n whose hexadecimal representation contains only numeric digits. What is the sum of the digits of n? (A) 17 (B) 18 (C) 19 (D) 20 (E) 21",,组合数学,递推与序列计数,递推;序列,建立状态递推或寻找周期规律计数。,
2015,AMC 10,A,19,2015 AMC 10A Problem 19,The isosceles right triangle ABC has right angle at C and area 12.5. The rays trisecting ∠ACB intersect AB at D and E. What is the area of △CDE? √ √ √ √ (A) 5 2 (B) 50 3−75 (C) 15 3 (D) 50−25 3 (E) 25 3 4 8 2 6,,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2015,AMC 10,A,20,2015 AMC 10A Problem 20,"A rectangle has area A cm2 and perimeter P cm, where A and P are positive integers. Which of the following numbers cannot equal A + P ? (A) 100 (B) 102 (C) 104 (D) 106 (E) 108 √",,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2015,AMC 10,A,21,2015 AMC 10A Problem 21,"Tetrahedron ABCD has AB = 5, AC = 3, BC = 4, BD = 4, AD = 3, and CD = 12 2. What is 5 the volume of the tetrahedron? √ √ 24 √ 24 √ (A) 3 2 (B) 2 5 (C) (D) 3 3 (E) 2 5 5",,几何,空间几何,空间几何;体积,用截面、相似、体积或空间距离关系建模。,
2015,AMC 10,A,22,2015 AMC 10A Problem 22,"Eight people are sitting around a circular table, each holding a fair coin. All eight people flip their coins and those who flip heads stand while those who flip tails remain seated. What is the probability that no two adjacent people will stand? 47 3 49 25 51 (A) (B) (C) (D) (E) 256 16 256 128 256",,概率与统计,组合概率,概率;计数,分别计数有利情况与总情况，再化为概率。,
2015,AMC 10,A,23,2015 AMC 10A Problem 23,The zeroes of the function f (x) = x2 − ax + 2a are integers. What is the sum of all possible values of a? (A) 7 (B) 8 (C) 16 (D) 17 (E) 18,,数论,整数构造,整数;构造,用整数范围、构造和极值条件筛选可能值。,
2015,AMC 10,A,24,2015 AMC 10A Problem 24,"For some positive integers p, there is a quadrilateral ABCD with positive integer side lengths, perimeter p, right angles at B and C, AB = 2, and CD = AD. How many different values of p < 2015 are possible? (A) 30 (B) 31 (C) 61 (D) 62 (E) 63",,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2015,AMC 10,A,25,2015 AMC 10A Problem 25,"Let S be a square of side length 1. Two points are chosen independently at random on the sides of S. The probability that the straight-line distance between the points is at least 1 is a−bπ , where 2 c a, b, and c are positive integers and gcd(a, b, c) = 1. What is a + b + c? (A) 59 (B) 60 (C) 61 (D) 62 (E) 63",,概率与统计,几何概率,几何概率;面积,将随机位置参数化，用面积或长度比例计算概率。,
2015,AMC 10,B,1,2015 AMC 10B Problem 1,What is the value of 2 − (−2)−2? 1 7 9 (A) − 2 (B) (C) (D) (E) 6 16 4 4,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
