contest,year,form,problem_no,source,major_category,minor_category,tags,notes,missing_reason_guess,triage_status
AMC 10,2002,B,14,2002 AMC 10B Problem 14,几何,三角形,三角形;角度,,Review notes: 2002 AMC 10B Problem 14 remains skipped due OCR/exponent mismatch,ocr_or_statement_risk
AMC 10,2003,A,9,2003 AMC 10A Problem 9,代数,运算与化简,代数;化简,自动分类依据较弱，按代数主线暂归类,"statement appears incomplete, lacks choices, or has OCR-risk markers",ocr_or_statement_risk
AMC 10,2003,A,10,2003 AMC 10A Problem 10,几何,空间几何,空间几何;体积,题面包含图形,statement/notes indicate diagram dependence,needs_diagram
AMC 10,2003,A,19,2003 AMC 10A Problem 19,几何,圆与曲线,圆;曲线,题面包含图形,Review notes: Skipped 2003 AMC 10A Problem 19 due diagram/lune OCR corruption,needs_diagram
AMC 10,2003,B,4,2003 AMC 10B Problem 4,几何,三角形,三角形;角度,题面包含图形,"Skipped reasons: 2003 AMC 10B Problem 4 requires the original flower-bed diagram, so it was skipped instead of guessing from incomplete OCR text.",needs_diagram
AMC 10,2003,B,19,2003 AMC 10B Problem 19,几何,圆与曲线,圆;曲线,题面包含图形,Skipped reasons: 2003 AMC 10B Problem 19: semicircle shaded-region problem depends on the original diagram and OCR-corrupted choices.,needs_diagram
AMC 10,2004,A,5,2004 AMC 10A Problem 5,概率与统计,组合概率,概率;计数,题面包含图形,Skipped reasons: 2004 AMC 10A Problem 5: probability question depends on the original grid diagram.,needs_diagram
AMC 10,2004,A,21,2004 AMC 10A Problem 21,几何,圆与曲线,圆;曲线,题面包含图形,Skipped reasons: 2004 AMC 10A Problem 21: shaded concentric-circle region depends on the original diagram.,needs_diagram
AMC 10,2004,A,24,2004 AMC 10A Problem 24,代数,数列与递推,数列;递推,,2004 AMC 10A Problem 24: CSV/PDF text is truncated before the recurrence conditions.,ocr_or_statement_risk
AMC 10,2004,B,25,2004 AMC 10B Problem 25,几何,圆与曲线,圆;曲线,,Skipped reasons: 2004 AMC 10B Problem 25: shaded two-circle/lens region requires the original figure and choices are missing from OCR.,needs_diagram
AMC 10,2005,A,8,2005 AMC 10A Problem 8,几何,面积与相似,面积;比例,,Skipped reasons: 2005 AMC 10A Problem 8: inner rotated square problem depends on the original diagram,needs_diagram
AMC 10,2005,A,12,2005 AMC 10A Problem 12,几何,面积与相似,面积;比例,题面包含图形,Skipped reasons: 2005 AMC 10A Problem 12: trefoil area problem depends on the original diagram.,needs_diagram
AMC 10,2005,A,17,2005 AMC 10A Problem 17,组合数学,递推与序列计数,递推;序列,题面包含图形,2005 AMC 10A Problem 17: five-sided star arrangement depends on the original diagram.,needs_diagram
AMC 10,2005,A,19,2005 AMC 10A Problem 19,几何,几何变换,变换;对称,题面包含图形,2005 AMC 10A Problem 19: rotated-square placement depends on the original diagram.,needs_diagram
AMC 10,2005,A,20,2005 AMC 10A Problem 20,组合数学,排列组合,排列组合;计数,,2005 AMC 10A Problem 20: equiangular octagon side lengths are OCR-ambiguous.,ocr_or_statement_risk
AMC 10,2006,A,7,2006 AMC 10A Problem 7,几何,三角形,三角形;角度,题面包含图形,Skipped reasons: 2006 AMC 10A Problem 7: rectangle-to-hexagon dissection depends on the original diagram.,needs_diagram
AMC 10,2006,A,12,2006 AMC 10A Problem 12,组合数学,排列组合,排列组合;计数,题面包含图形,Skipped reasons: 2006 AMC 10A Problem 12: dog rope arrangement depends on preliminary drawings.,needs_diagram
AMC 10,2006,A,16,2006 AMC 10A Problem 16,几何,圆与曲线,圆;曲线,题面包含图形,2006 AMC 10A Problem 16: tangent-circles triangle depends on the original diagram.,needs_diagram
AMC 10,2006,A,17,2006 AMC 10A Problem 17,几何,面积与相似,面积;比例,题面包含图形,2006 AMC 10A Problem 17: WXYZ rectangle/trisection area depends on the original diagram.,needs_diagram
AMC 10,2006,B,6,2006 AMC 10B Problem 6,几何,面积与相似,面积;比例,题面包含图形,Skipped reasons: 2006 AMC 10B Problem 6 skipped: statement depends on a diagram and OCR text is incomplete.,needs_diagram
AMC 10,2006,B,7,2006 AMC 10B Problem 7,代数,运算与化简,代数;化简,自动分类依据较弱，按代数主线暂归类,2006 AMC 10B Problem 7 skipped: OCR text for the expression is unreliable.,ocr_or_statement_risk
