year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2022,AMC 10,A,1,2022 AMC 10A Problem 1,What is the value of 1 3 + ? 3 + 1 3+ 1 3 (A) 31 (B) 49 (C) 33 (D) 109 (E) 15 10 15 10 33 4,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2022,AMC 10,A,2,2022 AMC 10A Problem 2,Mike cycled 15 laps in 57 minutes. Assume he cycled at a constant speed throughout. Approxi- mately how many laps did he complete in the first 27 minutes? (A) 5 (B) 7 (C) 9 (D) 11 (E) 13,,代数,三角恒等式,三角函数;恒等式,用三角恒等式、角度关系或特殊角化简。,
2022,AMC 10,A,3,2022 AMC 10A Problem 3,"The sum of three numbers is 96. The first number is 6 times the third number, and the third number is 40 less than the second number. What is the absolute value of the difference between the first and second numbers? (A) 1 (B) 2 (C) 3 (D) 4 (E) 5",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2022,AMC 10,A,4,2022 AMC 10A Problem 4,"In some countries, automobile fuel efficiency is measured in liters per 100 kilometers while other countries use miles per gallon. Suppose that 1 kilometer equals m miles, and 1 gallon equals ℓ liters. Which of the following gives the fuel efficiency in liters per 100 kilometers for a car that gets x miles per gallon? (A) x (B) xℓm (C) ℓm (D) 100 (E) 100ℓm 100ℓm 100 100x xℓm x",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2022,AMC 10,A,5,2022 AMC 10A Problem 5,"Square ABCD has side length 1. Point P , Q, R, and S each lie on a side of ABCD such that AP QCRS is an equilateral convex hexagon with side length s. What is s? √ √ (A) 2 (B) 1 (C) 2 √2 (D) 1 2 (E) 2 3 2 − − 4 3 (cid:12) (cid:12)",,几何,三角形,三角形;角度,运用三角形边角关系、三角函数或面积公式。,
2022,AMC 10,A,6,2022 AMC 10A Problem 6,Which expression is equal to (cid:12)a 2 (cid:112) (a 1)2(cid:12) for a < 0? (cid:12) (cid:12) − − − (A) 3 2a (B) 1 a (C) 1 (D) a + 1 (E) 3 − −,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2022,AMC 10,A,7,2022 AMC 10A Problem 7,"The least common multiple of a positive integer n and 18 is 180, and the greatest common divisor of n and 45 is 15. What is the sum of the digits of n? (A) 3 (B) 6 (C) 8 (D) 9 (E) 12",,数论,进制与数字,数字;进制,分析数字、位值或进制表示带来的整数约束。,
2022,AMC 10,A,8,2022 AMC 10A Problem 8,"A data set consists of 6 (not distinct) positive integers: 1, 7, 5, 2, 5, and X. The average (arithmetic mean) of the 6 numbers equals a value in the data set. What is the sum of all positive values of X? (A) 10 (B) 26 (C) 32 (D) 36 (E) 40",,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,
2022,AMC 10,A,9,2022 AMC 10A Problem 9,"A rectangle is partitioned into 5 regions as shown. Each region is to be painted a solid color - red, orange, yellow, blue, or green - so that regions that touch are painted different colors, and colors can be used more than once. How many different colorings are possible? (A) 120 (B) 270 (C) 360 (D) 540 (E) 720",,组合数学,染色与构造,染色;构造,按颜色/类型分类，使用构造、对称或计数。,题面包含图形
2022,AMC 10,A,10,2022 AMC 10A Problem 10,"Daniel finds a rectangular index card and measures its diagonal to be 8 centimeters. Daniel then cuts out equal squares of side 1 cm at two opposite corners of the index card and measures the distance between the two closest vertices of these squares to be 4√2 centimeters, as shown below. What is the area of the original index card? 1 8 1 4√2 (A) 14 (B) 10√2 (C) 16 (D) 12√2 (E) 18 (cid:113) (cid:113)",,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,题面包含图形
2022,AMC 10,A,11,2022 AMC 10A Problem 11,Ted mistakenly wrote 2m 1 as 2 m 1 . What is the sum of all real numbers m for which · 4096 · 4096 these two expressions have the same value? (A) 5 (B) 6 (C) 7 (D) 8 (E) 9,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,
