form,problem_no,local_source,identity_fields_correct,statement_matches_fall,duplicated_from_spring,options_complete,local_answer,canonical_answer,answer_verified,detail_answer,detail_page_exists,detail_page_correct,recommended_action,evidence,canonical_problem_url,answer_key_url
A,1,2021 Fall AMC 12A Problem 1,yes,no,yes,yes,,C,no,B. 50,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=c2b61927d8a0; canonical_fall_sha=139cc5834823; local content equals Spring A1; choices=5/5; AoPS key=C; detail answer=B (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_1,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,2,2021 Fall AMC 12A Problem 2,yes,no,yes,yes,,E,no,D. ab=0 and a+b\ge0,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=4650db482974; canonical_fall_sha=f1f3f4d33e75; local content equals Spring A2; choices=5/5; AoPS key=E; detail answer=D (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_2,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,3,2021 Fall AMC 12A Problem 3,yes,no,yes,yes,,B,no,"D. 14,238",yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=655f80c2916c; canonical_fall_sha=1c4bc1e1080c; local content equals Spring A3; choices=5/5; AoPS key=B; detail answer=D (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_3,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,4,2021 Fall AMC 12A Problem 4,yes,no,yes,yes,,E,no,D. Happy snakes are not purple.,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=a0678f5611e4; canonical_fall_sha=9a1ae88a69d1; local content equals Spring A4; choices=5/5; AoPS key=E; detail answer=D (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_4,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,5,2021 Fall AMC 12A Problem 5,yes,no,yes,yes,,B,no,E. 75,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=2d0ec7b59810; canonical_fall_sha=d20cb641f399; local content equals Spring A5; choices=5/5; AoPS key=B; detail answer=E (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_5,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,6,2021 Fall AMC 12A Problem 6,yes,no,yes,yes,,D,no,C. 12,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=62667c679e00; canonical_fall_sha=67a7a9f03bb7; local content equals Spring A6; choices=5/5; AoPS key=D; detail answer=C (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_6,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,7,2021 Fall AMC 12A Problem 7,yes,no,yes,yes,,B,yes,B. 1,yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=65c3cb981939; canonical_fall_sha=9be6532ec5ff; local content equals Spring A7; choices=5/5; AoPS key=B; detail answer=B (matches_key),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_7,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,8,2021 Fall AMC 12A Problem 8,yes,no,yes,yes,,D,no,"C. (E, O, E)",yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=5bf21bd42ac0; canonical_fall_sha=fa33c9433cd7; local content equals Spring A8; choices=5/5; AoPS key=D; detail answer=C (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_8,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,9,2021 Fall AMC 12A Problem 9,yes,no,yes,yes,,E,no,C. 3^{128}-2^{128},yes,no,replace Fall row from verified Fall source; reclassify; remove/regenerate incorrect detail page and teaching solution; verify answer,local_sha=d237b5fc04a0; canonical_fall_sha=3fe1ce8bd1ba; local content equals Spring A9; choices=5/5; AoPS key=E; detail answer=C (wrong),https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_9,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
A,10,2021 Fall AMC 12A Problem 10,yes,no,yes,yes,,D,missing,,no,not_applicable,replace Fall row from verified Fall source; reclassify; then generate detail page and verify answer,local_sha=6956271ba43a; canonical_fall_sha=265749a62ffd; local content equals Spring A10; choices=5/5; AoPS key=D; detail page absent,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Problems/Problem_10,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_12A_Answer_Key
