year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2020,AMC 8,,1,2020 AMC 8 Problem 1,Luka is making lemonade to sell at a school fundraiser. His recipe requires 4 times as much water as sugar and twice as much sugar as lemon juice. He uses 3 cups of lemon juice. How many cups of water does he need? (A) 6 (B) 8 (C) 12 (D) 18 (E) 24,E,算术与数感,比例,比例;AMC 8,设共同份数或比例参数，将各数量写成同一参数的倍数。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2020,AMC 8,,2,2020 AMC 8 Problem 2,"Four friends do yardwork for their neighbors over the weekend, earning 15, 20, 25, and 40, respectively. They decide to split their earnings equally among themselves. In total, how much will the friend who earned 40 give to the others? (A) 5 (B) 10 (C) 15 (D) 20 (E) 25",C,算术与数感,应用题,应用题;AMC 8,提取数量、速度、时间或费用关系并分步计算。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2020,AMC 8,,3,2020 AMC 8 Problem 3,"Carrie has a rectangular garden that measures 6 feet by 8 feet. She plants the entire garden with strawberry plants. Carrie is able to plant 4 strawberry plants per square foot, and she harvests an average of 10 strawberries per plant. How many strawberries can she expect to harvest? (A) 560 (B) 960 (C) 1120 (D) 1920 (E) 3840",D,算术与数感,应用题,应用题;正方形;平均数,提取数量、速度、时间或费用关系并分步计算。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2020,AMC 8,,4,2020 AMC 8 Problem 4,Three hexagons of increasing size are shown below. Suppose the dot pattern continues so that each successive hexagon contains one more band of dots. How many dots are in the next hexagonal? [图形] (A) 35 (B) 37 (C) 39 (D) 43 (E) 49,B,代数,模式规律,模式规律;AMC 8,从重复或递推结构中确定周期和增长规律。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2020,AMC 8,,5,2020 AMC 8 Problem 5,Three fourths of a pitcher is filled with pineapple juice. The pitcher is emptied by pouring an equal amount of juice into each of 5 cups. What percent of the total capacity of the pitcher did each cup receive? (A) 5 (B) 10 (C) 15 (D) 20 (E) 25,C,算术与数感,百分比,百分比;AMC 8,把百分比转成乘法关系，追踪基准量的变化。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2020,AMC 8,,6,2020 AMC 8 Problem 6,"Aaron, Darren, Karen, Maren, and Sharon rode on a small train that has five cars that seat one person each. Maren sat in the last car. Aaron sat directly behind Sharon. Darren sat in one of the cars in front of Aaron. At least one person sat between Karen and Darren. Who sat in the middle car? (A) Aaron (B) Darren (C) Karen (D) Maren (E) Sharon",A,组合数学,排列组合,排列组合;AMC 8,按位置或对象分组，处理相邻、捆绑等排列限制。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2020,AMC 8,,7,2020 AMC 8 Problem 7,"How many integers between 2020 and 2400 have four distinct digits arranged in increasing order? (For example, 2347 is one integer.) (A) 9 (B) 10 (C) 15 (D) 21 (E) 28",C,组合数学,计数,计数;数字;排列,建立不重不漏的分类或递推计数。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2020,AMC 8,,8,2020 AMC 8 Problem 8,"Ricardo has 2020 coins, some of which are pennies ( 1 -cent coins) and the rest of which are nickels ( 5 -cent coins). He has at least one penny and at least one nickel. What is the difference in cents between the greatest possible and least possible amounts of money that Ricardo can have? (A) 8062 (B) 8068 (C) 8072 (D) 8076 (E) 8082",C,代数,方程,方程;AMC 8,设未知数，把题目条件翻译成方程并筛选符合条件的解。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2020,AMC 8,,9,2020 AMC 8 Problem 9,"Akash's birthday cake is in the form of a 4 × 4 × 4 inch cube. The cake has icing on the top and the four side faces, and no icing on the bottom. Suppose the cake is cut into 64 smaller cubes, each measuring 1 × 1 × 1 inch, as shown below. How many small pieces will have icing on exactly two sides? [图形] (A) 12 (B) 16 (C) 18 (D) 20 (E) 24",D,几何与测量,空间几何,空间几何;立方体,根据立体的面、棱、截面或展开图分析空间关系。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2020,AMC 8,,10,2020 AMC 8 Problem 10,"Zara has a collection of 4 marbles: an Aggie, a Bumblebee, a Steelie, and a Tiger. She wants to display them in a row on a shelf, but does not want to put the Steelie and the Tiger next to one another. In how many ways can she do this? (A) 6 (B) 8 (C) 12 (D) 18 (E) 24",C,组合数学,排列组合,排列组合;AMC 8,按位置或对象分组，处理相邻、捆绑等排列限制。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
